"amchagas",14971
"amchagas > Home",2903
"amchagas > Signal Generators",670
"amchagas > Open Hardware projects",520
"amchagas > Raspberry Pi  ",518
"amchagas > Arduino",507
"amchagas > Open lab notebooks",503
"amchagas > Computer Vision and motion tracking software",454
"amchagas > Supercomputers",442
"amchagas > tDCS machine",406
"amchagas > Learning sources",362
"amchagas > Open Ephys - open-source electrophysiology",359
"amchagas > Cyclops driver R2",320
"amchagas > Near-infrared spectroscopy",297
"amchagas > Open Wetware",268
"amchagas > Open EEG",256
"amchagas > Human psychophysics using Arduino",223
"amchagas > 3D printers",212
"amchagas > Other interesting projects",209
"amchagas > Python, NumPy, SciPy & Matplotlib",207
"amchagas > About",173
"amchagas > Backyard brains - Neuroscience for everyone",167
"amchagas > Open Software",161
"amchagas > Open access journals",155
"amchagas > Crowd funding",155
"amchagas > NeuralEnsemble",153
"amchagas > 10$ microscope using a smartphone",148
"amchagas > Red Pitaya",145
"amchagas > Opening MCD files with python",145
"amchagas > Stereo microscope - The Steve Richardson way.",139
"amchagas > Psychophysics toolboxes",136
"amchagas > SimpleCortex",135
"amchagas > Articles related to Open Source Projects",132
"amchagas > Open PCR",123
"amchagas > Scanning electron microscope",121
"amchagas > Arduino script posner test",121
"amchagas > OpenBCI",121
"amchagas > BrainBrowser",112
"amchagas > Skinner box using a rasperry pi and python",110
"amchagas > EEG MEG Toolbox - Fieldtrip",106
"amchagas > Data sharing / Databases",106
"amchagas > Optogenetics",105
"amchagas > Statistics",99
"amchagas > Nose poke device for rats using arduino and 3d printed parts",94
"amchagas > Operating systems",94
"amchagas > Lab management software",94
"amchagas > Image, Office suites, and other general purpose software",92
"amchagas > Intelligent hearing aid",90
"amchagas > Tutorials",86
"amchagas > OpenFuge",84
"amchagas > Open science framework",81
"amchagas > GNU Octave",79
"amchagas > Open source brain",74
"amchagas > MobilECG",69
"amchagas > Electrophysiology systems",68
"amchagas > OpenHardwareExG",60
"amchagas > The ""Beagles"",59
"amchagas > Neuroimaging databases",56
"amchagas > Human Brain interactors",56
"amchagas > NeuroElectro",55
"amchagas > Micro-Manager",51
"amchagas > Python record script posner test",49
"amchagas > Mapple",48
"amchagas > Microcontrollers",47
"amchagas > Even more projects",44
"amchagas > Open syringe pump 1",44
"amchagas > Data analysis and visualization",43
"amchagas > ImageJ",43
"amchagas > Programable water bath",42
"amchagas > motion tracking software",39
"amchagas > Microscopy hardware",38
"amchagas > Data repositories",38
"amchagas > OpenStage",36
"amchagas > schematics Posner test",34
"amchagas > December updates",33
"amchagas > Open centrifuges, a hack everyday and optogenetics wiki!",29
"amchagas > Microscopy",24
"amchagas > 3D printers!",23
"amchagas > Nipy",22
"amchagas > IPipet",21
"amchagas > DremelFuge",19
"amchagas > Christmas post with 5 projects to keep you busy!",19
"amchagas > Single board computers",15
"amchagas > GogoFuge",14
"amchagas > Addgene",14
"amchagas > Programable water bath and tutorials for electronics",14
"amchagas > Some new projects",13
"amchagas > January brings novelty!",13
"amchagas > Raspberry pi based",11
"amchagas > 3rd IBRO school on insect neuroscience and Drosophila neurogenetics",10
"amchagas > Crowdfunding",9
"amchagas > centrifuges",9
"amchagas > Parallela",9
"amchagas > Signal generators",7
"amchagas > Boinc",7
"amchagas > Wetware",7
"amchagas > Microscopy special!",6
"amchagas > Fiji",6
"amchagas > New open wetware section",6
"amchagas > Genome RNAi",6
"amchagas > NiBabel",6
"amchagas > Open Syringe pump 2",5
"amchagas > Publicize and Psychophysics!",2
"amchagas > Open syringe pumps",1
