date,visitors,pageviews,bounce_rate,visit_duration
2021-05-01,17,24,95,2
2021-05-02,21,71,60,337
2021-05-03,32,50,63,139
2021-05-04,32,51,80,83
2021-05-05,28,53,70,43
2021-05-06,42,170,68,138
2021-05-07,62,162,62,187
2021-05-08,16,28,80,27
2021-05-09,13,70,54,226
2021-05-10,43,116,59,161
2021-05-11,27,63,79,76
2021-05-12,38,63,74,39
2021-05-13,34,58,74,45
2021-05-14,32,50,80,18
2021-05-15,11,13,92,1
2021-05-16,9,13,82,125
2021-05-17,21,83,65,147
2021-05-18,36,91,61,133
2021-05-19,26,37,78,17
2021-05-20,42,77,71,28
2021-05-21,44,87,61,119
2021-05-22,16,111,50,371
2021-05-23,28,66,66,149
2021-05-24,32,42,89,18
2021-05-25,42,80,64,91
2021-05-26,28,62,60,50
2021-05-27,42,74,75,115
2021-05-28,55,102,80,48
2021-05-29,14,38,79,353
2021-05-30,22,37,73,120
2021-05-31,29,66,55,153
2021-06-01,31,77,62,77
