date,visitors,pageviews,bounce_rate,visit_duration
2021-06-01,31,76,62,77
2021-06-02,40,96,69,143
2021-06-03,43,89,64,127
2021-06-04,34,53,68,16
2021-06-05,19,40,62,151
2021-06-06,18,44,71,133
2021-06-07,24,41,78,24
2021-06-08,38,65,74,47
2021-06-09,22,38,67,21
2021-06-10,39,117,56,174
2021-06-11,34,76,71,88
2021-06-12,13,17,77,14
2021-06-13,17,32,78,83
2021-06-14,29,57,60,58
2021-06-15,21,44,84,79
2021-06-16,33,66,67,77
2021-06-17,45,68,79,39
2021-06-18,43,68,70,67
2021-06-19,14,19,79,10
2021-06-20,20,30,75,44
2021-06-21,36,74,69,75
2021-06-22,45,77,76,155
2021-06-23,35,105,68,67
2021-06-24,28,49,76,59
2021-06-25,72,151,69,106
2021-06-26,11,19,82,10
2021-06-27,24,49,72,108
2021-06-28,38,78,72,171
2021-06-29,35,48,81,52
2021-06-30,33,57,69,30
2021-07-01,31,79,67,160
