date,visitors,pageviews,bounce_rate,visit_duration
2021-04-01,38,109,52,109
2021-04-02,40,133,62,163
2021-04-03,26,103,47,370
2021-04-04,22,40,62,117
2021-04-05,37,81,62,123
2021-04-06,66,153,68,101
2021-04-07,45,97,56,121
2021-04-08,44,98,63,159
2021-04-09,63,118,65,91
2021-04-10,17,32,65,32
2021-04-11,20,29,77,33
2021-04-12,44,85,69,174
2021-04-13,32,57,65,55
2021-04-14,26,56,61,72
2021-04-15,34,108,58,164
2021-04-16,35,67,75,17
2021-04-17,20,56,67,133
2021-04-18,12,23,64,26
2021-04-19,29,70,73,159
2021-04-20,20,40,55,101
2021-04-21,25,82,57,135
2021-04-22,31,72,63,121
2021-04-23,25,49,65,40
2021-04-24,10,15,73,8
2021-04-25,20,43,59,106
2021-04-26,25,68,62,200
2021-04-27,26,52,65,81
2021-04-28,31,68,66,67
2021-04-29,25,91,50,267
2021-04-30,39,79,60,66
2021-05-01,18,24,95,2
