date,visitors,pageviews,bounce_rate,visit_duration
2021-08-01,10,16,64,106
2021-08-02,41,71,72,183
2021-08-03,31,61,69,46
2021-08-04,30,55,68,130
2021-08-05,29,78,65,163
2021-08-06,23,80,46,156
2021-08-07,19,33,71,67
2021-08-08,15,25,71,46
2021-08-09,21,62,64,99
2021-08-10,30,47,71,19
2021-08-11,31,51,71,67
2021-08-12,34,71,62,111
2021-08-13,29,41,76,76
2021-08-14,17,21,82,5
2021-08-15,12,16,85,47
2021-08-16,34,76,78,96
2021-08-17,27,55,78,48
2021-08-18,23,43,72,24
2021-08-19,29,73,71,63
2021-08-20,19,52,59,84
2021-08-21,10,32,50,43
2021-08-22,18,29,67,58
2021-08-23,29,51,76,89
2021-08-24,23,50,74,97
2021-08-25,44,75,74,68
2021-08-26,35,67,79,55
2021-08-27,29,63,60,173
2021-08-28,18,49,61,156
2021-08-29,11,41,45,261
2021-08-30,25,75,83,45
2021-08-31,30,57,66,64
2021-09-01,24,57,62,144
